rnum,docid,hot,thank,gift,contr,views,yviews,article,patient1,ypatient,period,treat,once
943,http://zhangping024.haodf.com/,5,495,2888,158060,2726946,3439,0,9184,8,4,1,1
944,http://aizhilongdr.haodf.com/,5,384,2092,87365,1730892,3031,0,5862,1,4,1,1
945,http://yindetao.haodf.com/,4.8,170,585,59174,1896241,1875,27,5061,4,4,1,1
946,http://kangjie007.haodf.com/,4.6,200,1252,102390,1800011,1918,30,3349,0,4,1,1
947,http://futao916.haodf.com/,4.5,120,407,37750,440071,2039,29,1762,0,4,1,1
948,http://liuhaiyuan.haodf.com/,5,293,1761,197845,9876095,9974,14,12829,2,4,1,1
949,http://drlupengrong.haodf.com/,5,349,2009,299370,17207191,8442,2,20809,10,4,1,1
950,http://fangfang1968.haodf.com/,4.8,174,1023,161290,7899925,4414,17,8969,2,4,1,1
951,http://guzhengrong008.haodf.com/,4.7,104,822,178530,8853170,4530,13,11710,0,4,1,1
952,http://chenruiyingdr.haodf.com/,4.8,152,715,92800,931662,2322,1,4620,13,4,1,1
953,http://shaojundr.haodf.com/,4.7,49,412,44550,634404,1600,10,2882,1,4,1,1
954,http://xuzhendr.haodf.com/,4.6,63,222,65605,1235415,2901,0,5568,1,4,1,1
955,http://xiaocaiyugang.haodf.com/,4.3,37,594,136490,1704427,1686,12,7179,0,4,1,1
956,http://sbb1982.haodf.com/,4.5,31,323,52380,321245,809,22,2704,3,4,1,1
957,http://wanlei2016.haodf.com/,4.4,33,336,51335,699286,1546,10,3731,5,4,1,1
958,http://zcmjj.haodf.com/,4.8,108,1412,145520,1578753,1874,25,6733,1,4,1,1
959,http://yinbaomin.haodf.com/,4.7,119,1193,83245,1027441,1760,6,3408,5,4,1,1
960,http://rose13121355.haodf.com/,4.5,170,457,159768,5471385,3981,67,8750,6,4,1,1
961,http://liguohua2015.haodf.com/,4.9,201,1590,135055,2737813,4848,21,6187,1,4,1,1
962,http://dr5zhangning.haodf.com/,4.7,240,6371,456620,14528219,17835,159,11390,1,4,1,1
963,http://wcm6705.haodf.com/,4.5,113,1037,162637,2877943,3988,20,11046,1,4,1,1
964,http://lixiaojin2009.haodf.com/,3.9,31,217,59160,1314886,2054,8,6161,0,4,1,1
965,http://zy665100.haodf.com/,3.5,9,86,44230,1203963,3444,71,6602,0,4,1,1
966,http://zouliping21.haodf.com/,5,690,4340,232000,3925543,4767,15,9181,7,4,1,1
967,http://liuzimeidr.haodf.com/,4.5,140,537,123800,1899786,2582,7,8413,1,4,1,1
968,http://anhuipanjiahua.haodf.com/,4.6,183,1036,78525,1154277,2170,18,5466,5,4,1,1
969,http://yangxinwei1965.haodf.com/,4.5,206,1506,121145,4110419,4217,34,9819,3,4,1,1
970,http://sgr1966.haodf.com/,4.3,303,871,134548,4059474,3983,26,7323,7,4,1,1
971,http://zhaobotaodr.haodf.com/,4.5,116,645,113795,868747,1767,12,5168,0,4,1,1
972,http://nichendr.haodf.com/,4.3,94,399,64755,1014482,2140,17,6498,6,4,1,1
973,http://zgf751008.haodf.com/,4.2,78,254,140885,924102,1762,158,3322,2,4,1,1
974,http://songpingdr.haodf.com/,4.3,89,386,142055,1863496,5215,90,9520,7,4,1,1
975,http://kyj132.haodf.com/,4,41,68,43280,352765,1457,17,2873,0,4,1,1
